truism,disagree,neutral,agree,disagree_percent,neutral_percent,agree_percent,category
A LITTLE KNOWLEDGE CAN GO A LONG WAY,10,26,69,0.095238095,0.247619048,0.657142857,TRUE
A LOT OF PROFESSIONALS ARE CRACKPOTS,23,23,59,0.219047619,0.219047619,0.561904762,TRUE
A MAN CAN'T KNOW WHAT IT IS TO BE A MOTHER,43,25,37,0.40952381,0.238095238,0.352380952,Controversial
A NAME MEANS A LOT JUST BY ITSELF,31,36,38,0.295238095,0.342857143,0.361904762,Controversial
A POSITIVE ATTITUDE MEANS ALL THE DIFFERENCE IN THE WORLD,19,22,64,0.180952381,0.20952381,0.60952381,TRUE
A RELAXED MAN IS NOT NECESSARILY A BETTER MAN,25,33,47,0.238095238,0.314285714,0.447619048,TRUE
A SENSE OF TIMING IS THE MARK OF GENIUS,21,39,45,0.2,0.371428571,0.428571429,TRUE
A SINCERE EFFORT IS ALL YOU CAN ASK,22,18,65,0.20952381,0.171428571,0.619047619,TRUE
A SINGLE EVENT CAN HAVE INFINITELY MANY INTERPRETATIONS,5,16,84,0.047619048,0.152380952,0.8,TRUE
A SOLID HOME BASE BUILDS A SENSE OF SELF,14,28,63,0.133333333,0.266666667,0.6,TRUE
A STRONG SENSE OF DUTY IMPRISONS YOU,42,24,39,0.4,0.228571429,0.371428571,Controversial
ABSOLUTE SUBMISSION CAN BE A FORM OF FREEDOM,51,19,35,0.485714286,0.180952381,0.333333333,Controversial
ABSTRACTION IS A TYPE OF DECADENCE,31,47,27,0.295238095,0.447619048,0.257142857,Neutral
ABUSE OF POWER COMES AS NO SURPRISE,6,24,75,0.057142857,0.228571429,0.714285714,TRUE
ACTION CAUSES MORE TROUBLE THAN THOUGHT,40,35,30,0.380952381,0.333333333,0.285714286,Controversial
ALIENATION PRODUCES ECCENTRICS OR REVOLUTIONARIES,23,24,58,0.219047619,0.228571429,0.552380952,TRUE
ALL THINGS ARE DELICATELY INTERCONNECTED,9,18,78,0.085714286,0.171428571,0.742857143,TRUE
AMBITION IS JUST AS DANGEROUS AS COMPLACENCY,26,32,47,0.247619048,0.304761905,0.447619048,TRUE
AMBIVALENCE CAN RUIN YOUR LIFE,17,19,69,0.161904762,0.180952381,0.657142857,TRUE
AN ELITE IS INEVITABLE,42,31,32,0.4,0.295238095,0.304761905,Controversial
ANGER OR HATE CAN BE A USEFUL MOTIVATING FORCE,29,19,57,0.276190476,0.180952381,0.542857143,TRUE
ANIMALISM IS PERFECTLY HEALTHY,33,58,14,0.314285714,0.552380952,0.133333333,Neutral
ANY SURPLUS IS IMMORAL,63,33,9,0.6,0.314285714,0.085714286,FALSE
ANYTHING IS A LEGITIMATE AREA OF INVESTIGATION,28,26,51,0.266666667,0.247619048,0.485714286,TRUE
ARTIFICIAL DESIRES ARE DESPOILING THE EARTH,29,37,39,0.276190476,0.352380952,0.371428571,Controversial
AT TIMES INACTIVITY IS PREFERABLE TO MINDLESS FUNCTIONING,6,16,83,0.057142857,0.152380952,0.79047619,TRUE
AT TIMES YOUR UNCONSCIOUSNESS IS TRUER THAN YOUR CONSCIOUS MIND,6,21,78,0.057142857,0.2,0.742857143,TRUE
AUTOMATION IS DEADLY,56,33,16,0.533333333,0.314285714,0.152380952,FALSE
AWFUL PUNISHMENT AWAITS REALLY BAD PEOPLE,59,36,10,0.561904762,0.342857143,0.095238095,FALSE
BAD INTENTIONS CAN YIELD GOOD RESULTS,12,28,65,0.114285714,0.266666667,0.619047619,TRUE
BEING ALONE WITH YOURSELF IS INCREASINGLY UNPOPULAR,29,28,48,0.276190476,0.266666667,0.457142857,Controversial
BEING HAPPY IS MORE IMPORTANT THAN ANYTHING ELSE,35,34,36,0.333333333,0.323809524,0.342857143,Controversial
